ID;Наименование;Описание;Фото;Производитель;Артикул;"Диаметр, мм";"Длина режущей части ножа, мм";"Общая длина, мм";"Диаметр хвостовика, мм";"Градус резки, °";"Количество зубьев, шт.";"Обрабатываемый материал";"Частота вращения, об/мин";Стоимость;Наличие
6767;"D=38.4x25.4x70 S=8 Набор фрез для сращивания ""Угол""ARDEN 336821/337821";;https://tooldirect.ru/upload/iblock/e69/e69738747700f926c54674d958c5d6f5.jpg;ARDEN;336821/337821;38.5;27.4;70;8;90;2;"МДФ,Фанера,Мягкая древесина,Твёрдая древесина,Пластик";18000;6790.00;"от 20";"Фрезы для сращивания V образные"
5091;"D=10x10x45 S=8 ARDEN арт.209830 Фреза для обработки фасадов (МДФ, пластик, ЛДСП, дерево) радиусного типа (псевдофилёнка ) R5=5 Z=2";;https://tooldirect.ru/upload/iblock/431/431b00071ccf10ad868050088ca6aa5d.png;ARDEN;209830;10;10;45;8;;;;;1540.00;"ожидается поступление";"Фрезы радиусные псевдофилёнка"
4911;"D=10x20x52 S=8 ARDEN арт.110831 Фреза (подходящий материал: МДФ, ЛДСП, дерево, пластик) прямая форма тип пазовый для ручного фрезера";;https://tooldirect.ru/upload/iblock/32c/32ccad95dbd85da77fae653498f2db27.jpg;ARDEN;110831;10;20;52;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1000.00;"от 5 до 10";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4845;"D=10x25x57 S=8 ARDEN арт.101861 Фреза (для работ по пластику, дереву, МДФ, ЛДСП) прямая пазового типа для фрезера ручного Z=1";;https://tooldirect.ru/upload/iblock/16b/16b43760361c4784d2b4225e8836f842.jpg;ARDEN;101861;10;25;57;8;;1;;;910.00;"от 10 до 20";"Фрезы прямые пазовые";"Фрезы прямые Z1"
4889;"D=10x25x57 S=8 ARDEN арт.110833A Фреза (для обработки МДФ, ЛДСП, пластика, дерева) прямой формы пазовая для фрезера (наклонное лезвие 3&deg;)";;https://tooldirect.ru/upload/iblock/a10/a103c9ed6a339efa8699c1645e14b6da.png;ARDEN;110833A;10;25;57;8;;;;;1170.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые (идеальная верхняя кромка)"
4990;"D=10x25x65 S=8 (Подш D=22 B=8 I=7) ARDEN арт.152801B Фреза (обработка пластика, ЛДСП, дерева, МДФ) обгонная кромочного типа (верхний подшипник) для фрезера ручного Z=2";;https://tooldirect.ru/upload/iblock/30e/30eb1bc83e34d0c7697a8e7e7d3958d4.png;ARDEN;152801B;10;25;65;8;;;;;1500.00;"от 3 до 5";"Фрезы кромочные (обгонные)";"Фрезы обгонные с верхним подшипником"
4849;"D=10x30x120 S=8 ARDEN арт.105816L Фреза (для работ по пластикам, дереву, ЛДСП, МДФ) прямой формы пазового типа для ручного фрезера с врезным зубом Z2+1 (длинная серия)";;https://tooldirect.ru/upload/iblock/0cd/0cd2bc7c958155ed1164ede4dcc43a40.png;ARDEN;105816L;10;30;120;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;2040.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом";"Фрезы прямые пазовые Z2"
4912;"D=10x30x63 S=6 ARDEN арт.110635 Фреза (для обработки пластика, дерева, МДФ, ЛДСП) прямой формы  пазового типа для фрезера ручного";;https://tooldirect.ru/upload/iblock/760/7603eb37175f942a18fd146cd9269bdc.jpg;ARDEN;110635;10;30;63;6;;;;;1170.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4913;"D=10x30x63 S=8 ARDEN арт.110835 Фреза (обрабатываемые материалы: ЛДСП, МДФ, дерево, пластик) прямая форма тип пазовый для ручного фрезера";;https://tooldirect.ru/upload/iblock/d6b/d6bfd0d5bf5206f49ae757cf78edc676.jpg;ARDEN;110835;10;30;63;10;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1170.00;"от 10 до 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4915;"D=10x30x76 S=12 ARDEN арт.110235 Фреза (обработка дерева, МДФ, ЛДСП, пластика) форма прямая тип пазовый для ручного фрезера";;https://tooldirect.ru/upload/iblock/651/6512849c226f6856fdcbce250099b965.jpg;ARDEN;110235;10;30;76;12;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1230.00;"до 2";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4914;"D=10x30x81 S=8 ARDEN арт.110835-50 Фреза (по дереву, МДФ, ЛДСП, пластикам) прямая пазовая для фрезера";;https://tooldirect.ru/upload/iblock/25b/25b4d21a0a0d5baa13716b1bcb462a14.jpg;ARDEN;110835-50;10;30;81;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1070.00;"от 20";"Фрезы прямые пазовые";"Фрезы прямые пазовые Z2"
4848;"D=10x30x90 S=8 ARDEN арт.105816 Фреза (обрабатываемые материалы: дерево, пластик, МДФ, ЛДСП) прямая пазового типа для фрезера ручного с врезным зубом Z2+1";;https://tooldirect.ru/upload/iblock/9c3/9c3e3c8e8c68b109dc4f3e51d5d49cf9.png;ARDEN;105816;10;30;90;8;;2;"МДФ,Фанера,Мягкая древесина,Ламинат,Твёрдая древесина,Пластик,Гипсокартон";;1690.00;"ожидается поступление";"Фрезы прямые пазовые";"Фрезы прямые пазовые с врезным зубом"
